what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.ide.installer,2.0.0.1255027359,com.aptana.ide.installer,1263399328625
started,bundle,com.aptana.ide.server.portal,2.0.0.1254275737,com.aptana.ide.server.portal,1263399328809
started,bundle,com.aptana.ide.update,2.0.0.1256853725,com.aptana.ide.update,1263399328886
started,bundle,com.aptana.ide.update.eclipse34,2.0.0.1257900571,com.aptana.ide.update.eclipse34,1263399329013
started,bundle,com.aptana.ide.editors,2.0.0.1256761519,com.aptana.ide.editors,1263399329365
started,bundle,com.aptana.ide.scripting,2.0.0.1253913567,com.aptana.ide.scripting,1263399329497
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399329501
started,bundle,com.aptana.radrails.intro,2.0.0.1256853868,com.aptana.radrails.intro,1263399329845
started,bundle,org.eclipse.equinox.p2.console,1.0.0.v20080514-1900,org.eclipse.equinox.p2.console,1263399330067
started,bundle,com.aptana.ide.update.eclipse35,2.0.0.1257900571,com.aptana.ide.update.eclipse35,1263399330432
started,bundle,com.aptana.ide.server.jetty,2.0.0.1256341583,com.aptana.ide.server.jetty,1263399330519
started,bundle,com.aptana.ide.update.ui,2.0.0.1257900571,com.aptana.ide.update.ui,1263399331153
started,bundle,com.aptana.radrails.sqlite3.win32,3.5.7.1257900714,com.aptana.radrails.sqlite3.win32,1263399331398
started,bundle,org.eclipse.eclipsemonkey,2.0.0.1256160806,org.eclipse.eclipsemonkey,1263399331448
started,bundle,org.eclipse.eclipsemonkey.lang.javascript,2.0.0.1253913567,org.eclipse.eclipsemonkey.lang.javascript,1263399332175
started,bundle,org.eclipse.eclipsemonkey.lang.ruby,1.2.2.1252597864,org.eclipse.eclipsemonkey.lang.ruby,1263399332176
opened,editor,com.aptana.radrails.intro,2.0.0.1256853868,com.aptana.radrails.MyRadRailsEditor,1263399332469
activated,editor,com.aptana.radrails.intro,2.0.0.1256853868,com.aptana.radrails.MyRadRailsEditor,1263399333149
activated,editor,org.rubypeople.rdt.ui,1.2.4.1255023174,org.rubypeople.rdt.ui.EditorRubyFile,1263399333294
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399333351
started,bundle,org.eclipse.eclipsemonkey.doms,2.0.0.1253913567,org.eclipse.eclipsemonkey.doms,1263399334898
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399335696
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399336031
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1263399356043
closed,editor,com.aptana.radrails.intro,2.0.0.1256853868,com.aptana.radrails.MyRadRailsEditor,1263399356203
